name	cat
01 Glückslos oder Niete_ES_Entwurf 1.txt	2
02 Was man zum eigenen Gewicht wissen sollte_ES_Entwurf 2_AC.txt	7
wdr/hilfe/leichte-sprache/navigation-suche-100-clean.txt	2
wdr/hilfe/leichte-sprache/alaaf-helau-karneval-102-clean.txt	4
wdr/hilfe/leichte-sprache/regeln-100-clean.txt	2
wdr/hilfe/leichte-sprache/informationen-europawahl-100-clean.txt	2
wdr/hilfe/leichte-sprache/inhalt-100-clean.txt	2
wdr/hilfe/leichte-sprache/uebersicht-leichte-sprache-landtagswahl-100-clean.txt	2
wdr/hilfe/leichte-sprache/karneval-wdr-angebote-100-clean.txt	2
wdr/hilfe/leichte-sprache/uebersicht-leichte-sprache-jahresrueckblick-102-clean.txt	2
wdr/hilfe/leichte-sprache/index-clean.txt	2
wdr/hilfe/leichte-sprache/uebersicht-leichte-sprache-bundestagswahl-100-clean.txt	2
wdr/hilfe/leichte-sprache/index-0-clean.txt	2
wdr/hilfe/leichte-sprache/uebersicht-leichte-sprache-jahresrueckblick-100-clean.txt	2
wdr/hilfe/leichte-sprache/barrierefreie-angebote-wdr-100-clean.txt	2
wdr/hilfe/leichte-sprache/bundestagswahl/wie-wdr-kandidatencheck-nutzen-100-clean.txt	2
wdr/hilfe/leichte-sprache/bundestagswahl/warum-kandidaten-ohne-video-100-clean.txt	2
wdr/hilfe/leichte-sprache/bundestagswahl/was-ist-wdr-kandidatencheck-100-clean.txt	0
wdr/hilfe/leichte-sprache/bundestagswahl/leichte-sprache-linkliste-bundestagswahl-100-clean.txt	2
wdr/hilfe/leichte-sprache/bundestagswahl/ueber-wahlseiten-122-clean.txt	2
wdr/hilfe/leichte-sprache/landtagswahl/wahlbenachrichtigung-104-clean.txt	0
wdr/hilfe/leichte-sprache/landtagswahl/wie-wahlergebnis-erfahren-100-clean.txt	0
wdr/hilfe/leichte-sprache/landtagswahl/wen-waehlen-100-clean.txt	0
wdr/hilfe/leichte-sprache/landtagswahl/warum-landtagswahl-100-clean.txt	0
wdr/hilfe/leichte-sprache/landtagswahl/ueber-wahlseiten-102-clean.txt	2
wdr/hilfe/leichte-sprache/landtagswahl/briefwahl-104-clean.txt	0
wdr/hilfe/leichte-sprache/landtagswahl/wer-darf-waehlen-100-clean.txt	4
wdr/hilfe/leichte-sprache/landtagswahl/im-wahllokal-waehlen-100-clean.txt	0
wdr/hilfe/leichte-sprache/landtagswahl/so-hat-nrw-gewaehlt-100-clean.txt	0
wdr/hilfe/leichte-sprache/jahresrueckblick2018/grippewelle-hoehepunkt-100-clean.txt	4
wdr/hilfe/leichte-sprache/jahresrueckblick2018/diesel-fahrverbote-122-clean.txt	1
wdr/hilfe/leichte-sprache/jahresrueckblick2018/stadtarchiv-koeln-urteil-100-clean.txt	1
