name	cat
hurraki/wiki/apartheidspolitik-clean.txt	0
hurraki/wiki/elektronische_gesundheitskarte-clean.txt	4
hurraki/wiki/geschichte-clean.txt	5
hurraki/wiki/geschichte_(wortklaerung)-clean.txt	5
hurraki/wiki/gesetz_(natur)-clean.txt	7
hurraki/wiki/gesetz_(politik)-clean.txt	0
hurraki/wiki/kultur-clean.txt	6
hurraki/wiki/kulturbeutel-clean.txt	6
hurraki/wiki/marktwirtschaft-clean.txt	0
hurraki/wiki/naturgesetz-clean.txt	7
hurraki/wiki/naturschutzgebiet-clean.txt	7
hurraki/wiki/oekologische_landwirtschaft-clean.txt	0
hurraki/wiki/politische_ideologie-clean.txt	0
hurraki/wiki/reaktion_(politik)-clean.txt	0
hurraki/wiki/soziale_marktwirtschaft-clean.txt	0
hurraki/wiki/verkehrszeichen-clean.txt	1
hurraki/wiki/verkehrszeichen_136-clean.txt	1
hurraki/wiki/verkehrszeichen_138-clean.txt	1
hurraki/wiki/wegwerfgesellschaft-clean.txt	3
hurraki/wiki/weltkulturerbe-clean.txt	6
hurraki/wiki/weltumwelttag-clean.txt	7
hurraki/wiki/zugangsgesellschaft-clean.txt	3
klexikon/zum/wiki/freikoerperkultur-clean.txt	6
klexikon/zum/wiki/geschichte-clean.txt	5
klexikon/zum/wiki/gruene_politik-clean.txt	0
klexikon/zum/wiki/hochkultur-clean.txt	6
klexikon/zum/wiki/kultur-clean.txt	6
klexikon/zum/wiki/kulturhauptstadt_europas-clean.txt	6
klexikon/zum/wiki/weltkulturerbe-clean.txt	6
klexikon/zum/wiki/weltnaturerbe-clean.txt	7
LV VHS Bayern/Wie viel Fett pro Tag ist gesund.txt	4
mdr/nachrichten-leicht/kultur-ls-100-clean.txt	6
mdr/nachrichten-leicht/thueringen-sportstaetten-oeffnen-ls-100-clean.txt	6
mdr/nachrichten-leicht/woerterbuch/glossar-amt-fuer-strassenverkehr100-clean.txt	1
mdr/nachrichten-leicht/woerterbuch/glossar-asylpolitik-100-clean.txt	0
mdr/nachrichten-leicht/woerterbuch/glossar-behinderten-politik100-clean.txt	0
mdr/nachrichten-leicht/woerterbuch/glossar-bildungs-politik-100-clean.txt	0
mdr/nachrichten-leicht/woerterbuch/glossar-bundes-verkehrs-minister-100-clean.txt	1
mdr/nachrichten-leicht/woerterbuch/glossar-bundes-verkehrs-ministerium100-clean.txt	1
mdr/nachrichten-leicht/woerterbuch/glossar-deutscher-boxsport-verband-100-clean.txt	6
mdr/nachrichten-leicht/woerterbuch/glossar-deutscher-kultur-rat-100-clean.txt	6
mdr/nachrichten-leicht/woerterbuch/glossar-europaeische-kultur-100-clean.txt	6
